Horizon,Updated_Horizon,Flag_remove,Flag.Horizon.Type,Move_to_Mineral
Lv,,,,
Fm,,,,
Hh,,,,
S,,,,
Om,,,Organic.Horizon,Move
L,,,,
Oh,,,Organic.Horizon,Move
Hr,,,,
Fa,,,,
NA,,Flag,,
Fz,,,,
Ln,,,,
F,,,,
H,,,,
Of,,,Organic.Horizon,Move
Hi,H1,,,
Hbi,Hb1,,Organic.Horizon,Move
LS,,,,
?Hh,Hh,,,
Hd,Hd,,,
LF,,,,
LFH,,,,
FH,,,,
D99,,Flag,,
Hir,Hr,,,
SL,,,,
Hhi,Hh,,,
Hz,H,,,
Of2,,,Organic.Horizon,Move
Omi,Om1,,Organic.Horizon,Move
S2,S2,,,
Hrw,Hcw,,,
Fm1,,,,
Fq2,,,,
W,,,,
FHr,,,,
Ofi,Of1,,Organic.Horizon,Move
*,,Flag,,
Fq,,,,
C,,,,Move
LFz,,,,
Faq,Faq,,,
Oh1,,,Organic.Horizon,Move
H2,,,,
hd,Hd,,,
Of1,,,Organic.Horizon,Move
Hri,Hc,,,
Hh1,,,,
Hh2,,,,
SLv,,,,
LH,,,,
F8y,,Flag,,
Lo,L,,,
Ohi,Oh1,,Organic.Horizon,Move
Oh3,,,Organic.Horizon,Move
Hda,Had,,,
Om2,,,Organic.Horizon,Move
Fy,,,,
Fz2,,,,
OH,Oh,,Organic.Horizon,Move
Om1,,,Organic.Horizon,Move
10m,,Flag,,
Ch,,Flag,,
Lf,,,,
Lithic,,Flag,,
Ah,,,,Move
WFa,Faw,,,
OF21,Of2,,Organic.Horizon,Move
FmH,,,,
Marl,,Flag,,
hri,Hr,,,
OFB,Ofb,,Organic.Horizon,Move
OM,Om,,Organic.Horizon,Move
Fm2,,,,
F2,,,,
HwHh,Hhw,,,
Lh,Ln,,,
Fb,,,Organic.Horizon,Move
H1,,,,
O,Om,,Organic.Horizon,Move
Fyin,F,,,
Hb,Hb,,Organic.Horizon,Move
F1,,,,
Hhr,Hh,,,
LvS,,,,
Hw,,,,
l,,Flag,,
Fz?,Fz,,,
Ha,,,,
Oh2,,,Organic.Horizon,Move
Oh4,,,Organic.Horizon,Move
Ls,,,,
Of3,,,Organic.Horizon,Move
lf,,Flag,,
Hdi,,,,
4,,Flag,,
Fai,Fa,,,
Sth,,Flag,,
Fq2d,,Flag,,
faq,Faq,,,
fq,Fq,,,
Fzi,,,,
SI,,,,
Ofca,Of,,Organic.Horizon,Move
G,,,,
HB2,Hb2,,Organic.Horizon,Move
Om3,,,Organic.Horizon,Move
Fw,,,,
FmHh,,,,
Hw*,Hw,,,
SL*,SL,,,
x,,Flag,,
Fg,F,,,
Hhw,,,,
LFm,,,,
O+B,,Flag,,
Ofz,Of,,Organic.Horizon,Move
Fhag,,Flag,,
O+C,,Flag,,
Fa1,,,,
Hv,,,,
Of5,,,Organic.Horizon,Move
DW,,Flag,,
Omk,Om,,Organic.Horizon,Move
Fam,,,,
C2,,,,Move
SILT,,Flag,,
OF,Of,,Organic.Horizon,Move
f,F,,,
Hzi,H,,,
IIHb,,,Organic.Horizon,Move
Fy2,F2,,,
Ln1,,,,
Faz,,,,
Omb,Omb,,Organic.Horizon,Move
Ohi1,Oh1,,Organic.Horizon,Move
Hiw,Hw1,,,
Fqo,F,,,
Fzw,,,,
LFB,LFH,,,
Had,H,,,
Fmr,Fm,,,
FA,Fa,,,
Ae,,,,Move
Hinda,,Flag,,
Oco,Om,,Organic.Horizon,Move
Fy1,F1,,,
FaqHc,FaqHw,,,
LFHi,LFH,,,
Fqa,Faq,,,
BmAh,,Flag,,
LandS,LS,,,
SLICHEN,S,,,
Hm,H,,,
FqS,FqS,,,
Hh3,,,,
Fza,,,,
Fh,,,,
Faqx,Faqx,,,
FmFa,Fma,,,
Lfa,,,,
Fyz,,,,
Ot,Om,,Organic.Horizon,Move
Hrf,FHr,,,
Hdab4,,Flag,,
MOSS,S,,,
Bf,,,,Move
FHa,FH,,,
CHARCOAL,,Flag,,
Hin,H,,,
charcoal,,Flag,,
Fag,Faq,,,
Fi,F1,,,
none,,Flag,,
Fq1,,,,
Omk1,Om,,Organic.Horizon,Move
Ash,,Flag,,
fqo,Fq,,,
OHB,Ohb,,Organic.Horizon,Move
Si,,Flag,,
C5,,,,Move
Ohm,Oh,,Organic.Horizon,Move
HrB,Hb,,Organic.Horizon,Move
Fv,,,,
L1,,,,
lFH,LFH,,,
Hcin,Hc1,,,
S+L,LS,,,
IOf1,Of1,,Organic.Horizon,Move
Omi1,Om1,,Organic.Horizon,Move
Hc,,,,
Ohw,Ohw,,Organic.Horizon,Move
Lm,Ln,,,
Om4,,,Organic.Horizon,Move
Om5,,,Organic.Horizon,Move
FHb,,,Organic.Horizon,Move
Fs,,,,
lN,,Flag,,
Ohb1,,,Organic.Horizon,Move
Hch,Hc,,,
SS,S,,,
Faq1,,,,
Bm,,,,Move
LnC,,Flag,,
L+F+H,LFH,,,
Ohb,,,Organic.Horizon,Move
Hdn,Hd,,,
"S,L",SL,,,
B+Hb,Hb,,Organic.Horizon,Move
Os,S,,,
Hf,,,,
Lvi,Lv1,,,
Faq2,,,,
FB,,Flag,,
R,,,,Move
LFHb,,,Organic.Horizon,Move
Lhi,LH,,,
IIOhb,,,Organic.Horizon,Move
Dw1,,Flag,,
Oco4,Om4,,Organic.Horizon,Move
NONE,,Flag,,
Charcoal,,Flag,,
LFa,,,,
HF,,,,
Fmw,,,,
Ohm2,Oh2,,Organic.Horizon,Move
IIOh,,,Organic.Horizon,Move
A,,Flag,,
Omi3,Om3,,Organic.Horizon,Move
Fhr,FHr,,,
OM1,Om1,,Organic.Horizon,Move
LV,Lv,,,
Hr2,,,,
Fma,,,,
L+S,LS,,,
LotS,LS,,,
Hwh,Hhw,,,
h,H,,,
oHiHh,Oh,,Organic.Horizon,Move
Lw,,,,
Fhi,LH,,,
BH,,Flag,,
Hdaj,,Flag,,
OmOh,Om,,Organic.Horizon,Move
Hrin,Hr,,,
Cgb,,,,Move
FaFm,,,,
Hrlig,Hr,,,
LnS,LS,,,
FHlig,FH,,,
SLn,,,,
C1,,,,Move
"


",,Flag,,
Hl,H1,,,
Of4,,,Organic.Horizon,Move
LH1,,,,
Fr,,,,
SF,,,,
OF4,Of4,,Organic.Horizon,Move
FmHr,,,,
HS,SH,,,
HhHw,Hhw,,,
F+CK,,Flag,,
LnLv,Lnv,,,
Of!,Of1,,Organic.Horizon,Move
Hu,H,,,
FaHh,,,,
Hhz,,,,
"SLn,v",SLnv,,,
HhAeh,,Flag,,
Lnv,,,,
Omz,Omz,,Organic.Horizon,Move
Fax,,,,
HrFm,,,,
"S,Lv",SLv,,,
H?,H,,,
OF2,Of2,,Organic.Horizon,Move
Moss,S,,,
OF6,Of6,,Organic.Horizon,Move
Fmli,Fm1,,,
Fli,LF1,,,
Fb3,,,Organic.Horizon,Move
VOhb2,,,Organic.Horizon,Move
OM2,Om2,,Organic.Horizon,Move
FHx,,,,
Ofi2,Of2,,Organic.Horizon,Move
Fzy,,,,
Fa2,,,,
lH,H1,,,
FzHhi,HzHh,,,
FaH,,,,
"L,Hi",Lhi,,,
Fa?,Fa,,,
HOh,Oh,,Organic.Horizon,Move
rock,R,,,Move
F*,F,,,
AhHin,,Flag,,
"L


L",,,,
Water,W,,,
OF5,Of5,,Organic.Horizon,Move
Faqui,Faq1,,,
Ahb,,,,Move
Fqz,,,,
FyFyz,Fyz,,,
LvandS,LvS,,,
S.L,SL,,,
FqHch,,,,
LOS,LS,,,
FqB,,Flag,,
Fz1,,,,
Fcw,Fw,,,
Hda2,,,,
OhIII,Oh3,,Organic.Horizon,Move
SLo,SL,,,
43.5,,Flag,,
FMFo,Fm,,,
"L,S",LS,,,
Hhb,,,Organic.Horizon,Move
F3,,,,
OH2,Oh2,,Organic.Horizon,Move
SandL,SL,,,
Fc,F,,,
Fd,F,,,
LvFm,,,,
Hhi2,,,,
6,,Flag,,
HhOh,Hh,,,
0F,Of,,Organic.Horizon,Move
lfh,LFH,,,
OF22,Of2,,Organic.Horizon,Move
OHi,Oh,,Organic.Horizon,Move
FM,Fm,,,
Ofb,,,Organic.Horizon,Move
S1,,,,
Fy8,,,,
FzHr,,,,
LvF,,,,
Hrig,Hr,,,
Hr2Hc,HrHc2,,,
Haz,H,,,
LrFa,Lfa,,,
FaHr,,,,
Flig,Fw,,,
Fzq,,,,
L0.5,,Flag,,
hrb,Hrb,,Organic.Horizon,Move
Fch,F,,,
"F1,F2",F1,,,
HrOh,Hc,,,
Bgh,,Flag,,
HH,Hh,,,
*Fa,Fa,,,
LFmH,,,,
Faqi,Faq1,,,
FqHin,FqH,,,
Hdb,Hdb,,Organic.Horizon,Move
LFHr,,,,
LSH,,,,
Oh1Hc1,Oh1,,Organic.Horizon,Move
Oh2Hc2,Oh2,,Organic.Horizon,Move
Fzr,Hz,,,
O?,Om,,Organic.Horizon,Move
Hli,Hw,,,
OH1,Oh1,,Organic.Horizon,Move
sLv,SLv,,,
Hrli,LHr1,,,
FmHrin,FmHr,,,
HB,,Flag,,
Hci,,,,
OS,,Flag,,
Ha2,,,,
Hab,,,Organic.Horizon,Move
H3,,,,
Ofi3,Of3,,Organic.Horizon,Move
HHI,Hh1,,,
sp,,Flag,,
hhi,Hh1,,,
Fb2,,,Organic.Horizon,Move
hr,Hr,,,
OF1,Of1,,Organic.Horizon,Move
?,,Flag,,
hCIN,Hc,,,
IIOmb,,,Organic.Horizon,Move
O3,,,Organic.Horizon,Move
SLnv,,,,
oh,Oh,,Organic.Horizon,Move
O1,Om1,,Organic.Horizon,Move
FHm,FmH,,,
Fmz,,,,
OF3,Of3,,Organic.Horizon,Move
LH2,,,,
Omr,Om,,Organic.Horizon,Move
Em,,Flag,,
Fqi,Fq1,,,
h2,H2,,,
hi,H1,,,
Fcn,F,,,
FG,,,,
C3,,,,Move
Hd2,,,,
