Horizon,Updated_Horizon,Flag_remove,Flag.Horizon.Type,Move_to_Humus
C,,,,
Cb2,,,,
Cb1,,,,
R,,,,
Bf,,,,
Ae,,,,
Bfj,,,,
Bf2,,,,
Bf1,,,,
Bm1,,,,
Bm2,,,,
Cb,,,,
Ahb,,,,
Bmj,Bm,,,
Ah,,,,
Bfgj,,,,
Bm,,,,
Cg,,,,
Ahb1,,,,
Cb3,,,,
Ahb2,,,,
C4,,,,
C1,,,,
C2,,,,
C3,,,,
Bmb2,,,,
Bmb,,,,
Cb33,Cb3,,,
Bg,,,,
F+Hb2,FHb2,,Organic.Horizon,
F+Hb1,FHb1,,Organic.Horizon,
F+Hb3,FHb3,,Organic.Horizon,
Bgj,,,,
Bg2,,,,
Bg1,,,,
Bc,Bmc,,,
Bcc,,,,
Bfg,,,,
Fmb,Fb,,Organic.Horizon,
Hrb,Hb,,Organic.Horizon,
Bhf,,,,
Bhfj,,,,
Aeb,,,,
Bt,,,,
Ah1,,,,
Ah2,,,,
Bh,,,,
BC,,,,
Bgj2,,,,
BC1,,,,
IIAhb,,,,
NA,,Flag,,
IIBm1,,,,
ah,Ah,,,
AB,,,,
Bm3,,,,
Ac,AC,,,
Bhf1,,,,
IIC1,,,,
Ae2,,,,
BM,Bm,,,
BHF,Bhf,,,
Bmk,,,,
Bfc,,,,
BTJ,Btj,,,
Ahe,,,,
Btgj,,,,
AE,Ae,,,
CK,Ck,,,
Ba,,,,
Cgj,,,,
Bf3,,,,
BC2,,,,
Bhfb,,,,
Hb,,,Organic.Horizon,
BT,Bt,,,
AHE,Ahe,,,
Ahg,,,,
Bm5,,,,
Aeh,Ahe,,,
Ahj,,,,
BFJ,Bfj,,,
Bhf3,,,,
Ag1,,,,
Bt3,,,,
BCgj,,,,
Aej,,,,
Cca1,,,,
IIBm2,,,,
AC,,,,
Bhg,,,,
VICg,,,,
Bsca,,,,
Bhf2,,,,
AH,Ah,,,
Cg2,,,,
bBfg,Bfg,,,
BCk2,,,,
Btg,,,,
IIBmk,,,,
Btj,,,,
IIBC,,,,
IIAB,,,,
2BM,IIBm,,,
Aeg,,,,
Ahg1,,,,
Bt2,,,,
Bmk1,,,,
IIC,,,,
BCgR,BCg,,,
IIBFG,IIBfg,,,
IIBfb1,,,,
Hhb,Hb,,Organic.Horizon,
Bfb,,,,
BCz,,,,
BFGJ,Bfgj,,,
Aek2,,,,
Stone,R,,,
Ck,,,,
IVBC,,,,
Cca,,,,
Cg2ca,Cgca2,,,
BCII,BC2,,,
A,,Flag,,
BMB2,Bm,,,
IIBm,,,,
Bk,,,,
Bhj,,,,
BF,Bf,,,
Bmgj1,,,,
Ah3,,,,
IIIC,,,,
iiBf,IIBf,,,
Btk,,,,
Rock,R,,,
BMg,Bmg,,,
iiC2,IIC2,,,
Ae1,,,,
VC,,,,
IBm,,,,
CKGJ,Ckgj,,,
Ahsk,,,,
Om,Om,,Organic.Horizon,
IC,C1,,,
IIAHB,IIAhb,,,
BCk,,,,
SILT,,Flag,,
B,,Flag,,
IIBg,,,,
Bfj2,,,,
CII,C2,,,
BCca,,,,
Bhjk,,,,
BHFG,Bhfg,,,
Bmg,,,,
Cg1,,,,
IIBmgj,,,,
Cg3,,,,
Ck1,,,,
Wb,W,,,
Hhib,Hb,,Organic.Horizon,
ABgj,,,,
BgtI,Btg,,,
IICk,,,,
BCg,,,,
AEJ,Aej,,,
BCK,BCk,,,
ACB,ACb,,,
ICg,Cg1,,,
Bmgj2,,,,
BMGJ,Bmgj,,,
kBt,Btk,,,
BM3,Bm3,,,
Bfh,Bhf,,,
B1,,Flag,,
2C,IIC,,,
BHFB1,Bhf,,,
IIBt,,,,
CKG,Ckg,,,
Bmgi,Bmgj,,,
IBf4,Bf4,,,
O,O,,Organic.Horizon,
Acj,AC,,,
Bmgj,,,,
IIBCTJ,IIBtj,,,
LF,,,Organic.Horizon,Move
D,,Flag,,
Btgx,,,,
Bt1,,,,
FH,,,Organic.Horizon,Move
C5,,,,
IICg,,,,
Oh3,Oh3,,Organic.Horizon,
IIBhfgj,,,,
IBhf,Bhf,,,
2BTJ,IIBtj,,,
Bhfg,,,,
IICca,,,,
Ap,,,,
Cgj1,,,,
Bhjf,,,,
c,C,,,
CB,BC,,,
Bmk2,,,,
IIAe2,,,,
IIBmg,,,,
A+BY,,Flag,,
Btjgj,,,,
Ahej,,,,
IIBt2,,,,
Bfhj,Bhfj,,,
IIBt1,,,,
Bfcgj,,,,
IIICgj,,,,
BCg1,,,,
Hb2,,,Organic.Horizon,
IAh,,,,
Hd,,,Organic.Horizon,Move
BCgII1,BCg2,,,
AEBK,Aekb,,,
Aegj2,,,,
IICB,IIBC,,,
IVC,,,,
Bck,,,,
IIBtkgj,,,,
BCg2,,,,
BCb,,,,
Bghj,,,,
Oh1,Oh1,,Organic.Horizon,
Bfy1,,,,
Hhwb,Hb,,Organic.Horizon,
AHK,Ahk,,,
Oh,,,Organic.Horizon,
Bkj,,,,
BMKU,Bmku,,,
Bmy,,,,
IIBMGJ,IIBmgj,,,
cg,Cg,,,
Bgt,Btg,,,
Aegj,,,,
Cc,,,,
IIIBC,,,,
IIBmk2,,,,
Bfbu,,,,
IIBg1,,,,
Ash,,Flag,,
Bfcj,,,,
H,,,Organic.Horizon,Move
ABt,Bt,,,
IIBCg,,,,
Bhgm,Bhg,,,
BFGJCJ,Bfgjcj,,,
L2,,Flag,,
Ab,,,,
Bgk,,,,
Bmca,,,,
BCf,Bf,,,
Ckg,,,,
Bmu,,,,
F,,,Organic.Horizon,Move
IIBtgj,,,,
2BC,IIBC,,,
Bmh,Bh,,,
Ahk,,,,
Bm4,,,,
2CK,IICk,,,
Ahjsag,Ahsag,,,
Oh2,,,Organic.Horizon,
Fh,FH,,Organic.Horizon,Move
IIC2,,,,
Bmg1,,,,
IICGJ,IICgj,,,
Bmgjk,Bmkgj,,,
Bhb,,,,
Ah2kg,Ahkg2,,,
IIICg,,,,
Bgb1,,,,
Ahb3,,,,
Ch,Bh,,,
BA,,,,
IIAheb,,,,
Ahy,,,,
IIBC2,,,,
AhBm,,Flag,,
IIIBm,,,,
Bgb,,,,
IIBg2,,,,
Aegb,,,,
Bcg,,,,
CG,Cg,,,
Bfj1,,,,
IIBCca,,,,
IIBfj2,,,,
Ahgj,,,,
Ck2,,,,
Bmy1,,,,
Bfhcj,Bhfcj,,,
Cgj2,,,,
BF2,Bf2,,,
Bhfgj,,,,
CK2,Ck2,,,
CGJ,Cgj,,,
Bksagj,,,,
ABg,,,,
IAhk,,,,
Bgk2,,,,
Of,,,Organic.Horizon,
Bfp,Bf,,,
Bmc,Bmc,,,
Bfhb,Bhfb,,,
Ahbg2,,,,
Cgk,,,,
IBm2,,,,
IIBngj,,,,
BCc,,,,
IIIBfcb,,,,
Cxc,,,,
IIICk,,,,
Bfjg,Bgfj,,,
Cgjk,Ckgj,,,
BMK,Bmk,,,
Btfj,,,,
bm,Bm,,,
Bkg1,,,,
R35+,,Flag,,
Ac2,AC2,,,
IIICG,IIICg,,,
IBm1,,,,
Cck,,,,
IICgj,,,,
BM1,Bm1,,,
Bfg4,,,,
Ckg3,,,,
Bh2,,,,
IIIBF,IIIBf,,,
L,,,Organic.Horizon,Move
Bg3,,,,
Fq,F,,Organic.Horizon,Move
Bgca,,,,
None,,Flag,,
Bhfc,,,,
Bfh1,Bhf1,,,
IIIBC2,,,,
BtC,Bt,,,
BM2,Bm2,,,
Afgj,Bfgj,,,
BGJ1,Bgj1,,,
Hbj,Hb,,Organic.Horizon,
BgII,Bg2,,,
ABk,,,,
IBf,,,,
BfuBCu,,Flag,,
Bfu,,,,
IIBmk1,,,,
Ahk1,,,,
Bhfu,,,,
BMU,Bmu,,,
Btk2,,,,
AhBg,,Flag,,
1Ah,Ah1,,,
Ccg,,,,
IIBtj,,,,
IVBC1,,,,
Bc1,Bmc1,,,
Cobbles,R,,,
BCcj,,,,
IIAhca,,,,
Bmkg2,,,,
Hh,,,Organic.Horizon,Move
BfII,Bf2,,,
Bgh,Bhg,,,
IIH,,,Organic.Horizon,Move
Bmku3,,,,
Charcoal,,Flag,,
BCgk,,,,
BMYB,Bmyb,,,
Bfc1,,,,
Bfc2,,,,
Aebu2,,,,
Bfbu1,,,,
Bg5,,,,
Bfb2,,,,
Aebu1,,,,
Cg5,,,,
AEgj,Aegj,,,
HAeb1,Aheb1,,,
Om1,,,Organic.Horizon,
Lfh,LFH,,Organic.Horizon,Move
A1,,Flag,,
IIC3,,,,
Cca2,,,,
Acb,Acb,,,
Hhi,,,Organic.Horizon,Move
Ob,,,Organic.Horizon,
IIBF2,IIBf2,,,
bHF,Bhf,,,
bF,Bf,,,
Rx,Rx,,,
Btm,Bt,,,
Ofb2,,,Organic.Horizon,
