ListName,ListFilter,ItemOrder,Item,ItemDescription,FieldUsedIn,ValidateLoops,Validate,Note,Flag
Accuracy,,0,,Null,LocationAccuracy,,FALSE,,FALSE
Accuracy,,1,1,GPS base-corrected,LocationAccuracy,,FALSE,,FALSE
Accuracy,,2,10,GPS,LocationAccuracy,,FALSE,,FALSE
Accuracy,,3,100,1:10k scrambled GPS,LocationAccuracy,,FALSE,,FALSE
Accuracy,,4,1000,1:50k,LocationAccuracy,,FALSE,,FALSE
Accuracy,,5,10000,1:250k,LocationAccuracy,,FALSE,,FALSE
ArborealLichenLoading,,1,,null,,,FALSE,,FALSE
ArborealLichenLoading,,2,0,None,,,FALSE,,FALSE
ArborealLichenLoading,,3,1,Rare,,,FALSE,,FALSE
ArborealLichenLoading,,4,2,Occasional,,,FALSE,,FALSE
ArborealLichenLoading,,5,3,Common,,,FALSE,,FALSE
ArborealLichenLoading,,6,4,Abundant,,,FALSE,,FALSE
ArborealLichenLoading,,7,5,Very Abundant,,,FALSE,,FALSE
AvailableForge,,2,1,Class 1,,,FALSE,,FALSE
AvailableForge,,3,2,Class 2,,,FALSE,,FALSE
AvailableForge,,4,3,Class 3,,,FALSE,,FALSE
AvailableForge,,5,4,Class 4,,,FALSE,,FALSE
BEC_Use,,1,1,Biodiversity: Intensive plots where full species list has been verified.,BEC_Use,,FALSE,,FALSE
BEC_Use,,2,2,Classification: Complete list of species but generally without vouchers and likely missing uncommon non-vasculars,BEC_Use,,FALSE,,FALSE
BEC_Use,,3,3,Support: Species list complete enough for accurate assessment of site units but not complete enough for use in site unit development,BEC_Use,,FALSE,,FALSE
BEC_Use,,4,4,Insufficient: Plots missing key information that maybe retrievable,BEC_Use,,FALSE,,FALSE
BEC_Use,,4.1,4.1,Insufficient: Georeferencing missing or inaccurate,BEC_Use,,FALSE,,FALSE
BEC_Use,,4.2,4.2,Insufficient: Unidentified major species,BEC_Use,,FALSE,,FALSE
BEC_Use,,4.3,4.3,Insufficient: Lacking environmental information,BEC_Use,,FALSE,,FALSE
BEC_Use,,5,5,"Poor quality: Major species not identified, very limited species lists etc.",BEC_Use,,FALSE,,FALSE
BEC_Use,,6,6,Visuals: Limited data but georeferenced site unit calls. Should be removed from BECMaster to a locations dataset,BEC_Use,,FALSE,,FALSE
BEC_Use,,7,7,Remove: Plots are substandard and of limited value,BEC_Use,,FALSE,,FALSE
BedrockType,,2,ag,Extrusive pyroclastic - agglomerate,,,FALSE,,FALSE
BedrockType,,3,ak,Clastic non-calcareous - medium grained - arkose,,,FALSE,,FALSE
BedrockType,,4,am,Non-foliated coarse grained - amphibolite,,,FALSE,,FALSE
BedrockType,,5,an,Extrusive intermediate - andesite,,,FALSE,,FALSE
BedrockType,,6,ar,Non-foliated fine grained - argillite,,,FALSE,,FALSE
BedrockType,,7,ba,Precipitates crystalline - non-calcareous - barite,,,FALSE,,FALSE
BedrockType,,8,bs,Extrusive basic (mafic) - basalt,,,FALSE,,FALSE
BedrockType,,9,bx,Clastic non-calcareous - coarse grained - breccia,,,FALSE,,FALSE
BedrockType,,10,cg,Clastic non-calcareous - coarse grained - conglomerate,,,FALSE,,FALSE
BedrockType,,11,co,Organic carbonaceous - coal,,,FALSE,,FALSE
BedrockType,,12,da,Extrusive acid (felsic) - dacite,,,FALSE,,FALSE
BedrockType,,13,dg,Foliated medium to coarse grained - dorite gneiss,,,FALSE,,FALSE
BedrockType,,14,di,Intrusive intermediate - diorite,,,FALSE,,FALSE
BedrockType,,15,dm,Non-foliated calcareous - dolomite marble,,,FALSE,,FALSE
BedrockType,,16,do,Precipitates crystalline - calcareous - dolomite,,,FALSE,,FALSE
BedrockType,,17,du,Intrusive basic (mafic) - dunite,,,FALSE,,FALSE
BedrockType,,18,ea,Extrusive acid (felsic),,,FALSE,,FALSE
BedrockType,,19,eb,Extrusive basic (mafic),,,FALSE,,FALSE
BedrockType,,20,ei,Extrusive intermediate,,,FALSE,,FALSE
BedrockType,,21,ep,Extrusive pyroclastic,,,FALSE,,FALSE
BedrockType,,22,fc,Foliated coarse grained,,,FALSE,,FALSE
BedrockType,,23,ff,Foliated fine grained,,,FALSE,,FALSE
BedrockType,,24,fm,Foliated medium to coarse grained,,,FALSE,,FALSE
BedrockType,,25,gb,Intrusive basic (mafic) - gabbro,,,FALSE,,FALSE
BedrockType,,26,gd,Intrusive acid (felsic) - granodiorite,,,FALSE,,FALSE
BedrockType,,27,gg,Foliated medium to coarse grained - granite gneiss,,,FALSE,,FALSE
BedrockType,,28,gk,Clastic non-calcareous - medium grained - greywacke,,,FALSE,,FALSE
BedrockType,,29,gl,Non-foliated medium to coarse grained - granulite,,,FALSE,,FALSE
BedrockType,,30,gn,Foliated medium to coarse grained - gneiss,,,FALSE,,FALSE
BedrockType,,31,gr,Intrusive acid (felsic) - granite,,,FALSE,,FALSE
BedrockType,,32,gy,Precipitates crystalline - non-calcareous - gypsum,,,FALSE,,FALSE
BedrockType,,33,hb,Non-foliated coarse grained - hornblendite,,,FALSE,,FALSE
BedrockType,,34,hf,Non-foliated medium to coarse grained - hornfels,,,FALSE,,FALSE
BedrockType,,35,ia,Intrusive acid (felsic),,,FALSE,,FALSE
BedrockType,,36,ib,Intrusive basic (mafic),,,FALSE,,FALSE
BedrockType,,37,ii,Intrusive intermediate,,,FALSE,,FALSE
BedrockType,,38,ka,Clastic calcareous - medium grained - arkose,,,FALSE,,FALSE
BedrockType,,39,kb,Clastic calcareous - coarse grained - breccia,,,FALSE,,FALSE
BedrockType,,40,kc,Clastic calcareous - coarse grained,,,FALSE,,FALSE
BedrockType,,41,kd,Clastic calcareous - fine grained - mudstone,,,FALSE,,FALSE
BedrockType,,42,kf,Clastic calcareous - fine grained,,,FALSE,,FALSE
BedrockType,,43,kg,Clastic calcareous - medium grained - greywacke,,,FALSE,,FALSE
BedrockType,,44,kh,Clastic calcareous - fine grained - shale,,,FALSE,,FALSE
BedrockType,,45,km,Clastic calcareous - medium grained,,,FALSE,,FALSE
BedrockType,,46,kn,Clastic calcareous - coarse grained - conglomerate,,,FALSE,,FALSE
BedrockType,,47,ks,Clastic calcareous - medium grained - sandstone,,,FALSE,,FALSE
BedrockType,,48,kz,Clastic calcareous - fine grained - siltstone,,,FALSE,,FALSE
BedrockType,,49,la,Extrusive recent lava flow,,,FALSE,,FALSE
BedrockType,,50,lg,Organic carbonaceous - lignite,,,FALSE,,FALSE
BedrockType,,51,li,Precipitates crystalline - non-calcareous - limonite,,,FALSE,,FALSE
BedrockType,,52,ls,Precipitates crystalline - calcareous - limestone,,,FALSE,,FALSE
BedrockType,,53,ma,Organic calcareous - mar,,,FALSE,,FALSE
BedrockType,,54,mb,Non-foliated calcareous - marble,,,FALSE,,FALSE
BedrockType,,55,md,Clastic non-calcareous - fine grained - mudstone,,,FALSE,,FALSE
BedrockType,,56,mi,Foliated coarse grained - migmatite,,,FALSE,,FALSE
BedrockType,,57,nc,Non-foliated coarse grained,,,FALSE,,FALSE
BedrockType,,58,nf,Non-foliated fine grained,,,FALSE,,FALSE
BedrockType,,59,nk,Non-foliated calcareous,,,FALSE,,FALSE
BedrockType,,60,nm,Non-foliated medium to coarse grained,,,FALSE,,FALSE
BedrockType,,61,oc,Organic carbonaceous,,,FALSE,,FALSE
BedrockType,,62,ok,Organic calcareous,,,FALSE,,FALSE
BedrockType,,63,ph,Foliated fine grained - phylite,,,FALSE,,FALSE
BedrockType,,64,pk,Precipitates crystalline - calcareous,,,FALSE,,FALSE
BedrockType,,65,pu,Precipitates crystalline - non-calcareous,,,FALSE,,FALSE
BedrockType,,66,py,Intrusive basic (mafic) - pyroxenite,,,FALSE,,FALSE
BedrockType,,67,qb,Extrusive basic (mafic) - quartz basalt,,,FALSE,,FALSE
BedrockType,,68,qd,Intrusive intermediate - quartz diorite,,,FALSE,,FALSE
BedrockType,,69,qg,Intrusive basic (mafic) - quartz,,,FALSE,,FALSE
BedrockType,,70,qm,Intrusive acid (felsic) - quartz monzonite,,,FALSE,,FALSE
BedrockType,,71,qt,Non-foliated medium to coarse grained - quartzite,,,FALSE,,FALSE
BedrockType,,72,rh,Extrusive acid (felsic) - rhyolite,,,FALSE,,FALSE
BedrockType,,73,sc,Foliated medium to coarse grained - schist,,,FALSE,,FALSE
BedrockType,,74,sh,Clastic non-calcareous - fine grained - shale,,,FALSE,,FALSE
BedrockType,,75,sl,Foliated fine grained - slate,,,FALSE,,FALSE
BedrockType,,76,sm,Non-foliated calcareous - serpentine marble,,,FALSE,,FALSE
BedrockType,,77,sp,Non-foliated fine grained - serpentinite,,,FALSE,,FALSE
BedrockType,,78,ss,Clastic non-calcareous - medium grained - sandstone,,,FALSE,,FALSE
BedrockType,,79,sy,Intrusive acid (felsic) - syenite,,,FALSE,,FALSE
BedrockType,,80,tr,Extrusive acid (felsic) - trachyte,,,FALSE,,FALSE
BedrockType,,81,tu,Extrusive pyroclastic - tuff,,,FALSE,,FALSE
BedrockType,,82,tv,Precipitates crystalline - calcareous - travertine,,,FALSE,,FALSE
BedrockType,,83,uc,Clastic non-calcareous - coarse grained,,,FALSE,,FALSE
BedrockType,,84,uf,Clastic non-calcareous - fine grained,,,FALSE,,FALSE
