SoilClassGroup,SoilClassSubGroup,n
*,,3
",DYB",,1
.B,,1
.BL,,3
.DB,CA,9
.DB,DCA,1
.DB,,2
.DXB,,1
.DYB,O,2
.DYB,,11
.E.E,B,1
.EB,,10
.G,,3
.GL,O,1
.GL,,2
.HG,,1
.HR,,1
.LG,,2
.M,,1
.MB,,3
.R,,5
.SB,,1
?,,10
>DYB,,1
0.DB,,1
0.EB,,1
0.FH,,1
0.HF,,3
AFO,T,4
AFO,TY,3
BB,,1
BC,CA,1
BC,O.BC,1
BC,R,1
BC,,1
BFO,TY,1
BGL,,1
BL,CA,3
BL,E,1
BL,G,5
BL,GL,2
BL,GLSZ,1
BL,O,33
BL,R,3
BL,SZ,1
BL,,21
BR,0,2
BR,B,2
BR,BR,8
BR,CA,1
BR,CU,1
BR,E,21
BR,G,2
BR,GL,191
BR,GLCU,1
BR,GLE,1
BR,GLSM,6
BR,O,145
BR,PZ,1
BR,SM,15
BR,,486
BR/L,,1
BRG,BL,1
BRGL,,1
BRUN,,1
C,CA,1
C,DB,1
C,R,1
C,,21
CA.B,,1
CL,,1
CR,CR,1
CU,G,4
CU,GL,1
CU,H,1
CU,R,2
CU,T,1
CU,,9
CU.H,,1
CU.R,,22
CUH,,1
CUR,GL,1
CUR,O,1
CUR,,1
D,,1
D.GL,,2
DB,0,1
DB,BR,1
DB,CA,40
DB,D,26
DB,DB,1
DB,E,16
DB,G,1
DB,GL,2
DB,GLCA,1
DB,GLE,1
DB,LI,1
DB,O,250
DB,R,13
DB,,239
DG,CA,1
DG,DG,1
DG,GL,3
DG,O,20
DG,,6
DG*,GL,1
DTB,GL,1
DU.F,,2
DUD,,1
DUH,,1
DYB?,,1
DYEB,,3
DYG,O,1
DYS,,1
E,DYB,1
E,E,4
E,EB,4
E,EEB,8
E,O,1
E,,73
E.DY,,1
EB-Y,O,2
ED,EDYB,2
ED,,146
EDB,,6
EDYB,,21
EEB,,5
EP,O,2
ER,,2
F.,GL,1
FE,FE,2
FE,G,2
FE,M,1
FE.,HG,1
FE.,LG.,1
FE.G,,2
FG,FG,1
FGB,FGB,20
FGT,FGT,4
FHB,,1
FI,M,2
FI.M,,1
FP,GL,1
FP,O,15
FP,OT,1
FP,SM,1
FR,LFO,1
FSI,,1
FT,FT,32
G*,MHFP,8
G*,SFHP,1
G*,SHFP,5
G.DY,B,4
GB,GL,1
GB,O,1
GBRG,L,1
GDU,HFP,1
GHF,,26
GIGL,,1
GL.,DYB,2
GL.,R,1
GL.F,,19
GL.H,,1
GL.L,,1
GL.R,,4
GLB,O,1
GLB,,2
GLC,,4
GLCU,R,2
GLCU,,1
GLD,GL,1
GLD,,6
GLDU,P,1
GLDU,,1
GLED,,7
GLF,,3
GLH,,1
GLO,HP,1
GLOT,,1
GLR,,1
GO,MFHP,4
GO,O,1
GOB,,1
GR,HY,1
GSHF,PZ,1
H.G,,1
H.R,,1
HE.F,,7
HEIG,,1
HM.F,,1
